type,parent_name,name,url,status
category,Rumah Tangga,Tempat Tas,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/tempat-tas,
category,Rumah Tangga,Tempat Tissue,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan/tempat-tissue,
category,Rumah Tangga,Tempat Penyimpanan,https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan,
category,Rumah Tangga,Bantal Leher,https://www.tokopedia.com/p/rumah-tangga/travel/bantal-leher,
category,Rumah Tangga,Gembok Koper,https://www.tokopedia.com/p/rumah-tangga/travel/gembok-koper,
category,Rumah Tangga,Koper,https://www.tokopedia.com/p/rumah-tangga/travel/koper,
category,Rumah Tangga,Luggage Cover,https://www.tokopedia.com/p/rumah-tangga/travel/luggage-cover,
category,Rumah Tangga,Luggage Strap,https://www.tokopedia.com/p/rumah-tangga/travel/luggage-strap,
category,Rumah Tangga,Luggage Tag,https://www.tokopedia.com/p/rumah-tangga/travel/luggage-tag,
category,Rumah Tangga,Passport Cover,https://www.tokopedia.com/p/rumah-tangga/travel/passport-cover,
category,Rumah Tangga,Penutup Mata Tidur,https://www.tokopedia.com/p/rumah-tangga/travel/penutup-mata-tidur,
category,Rumah Tangga,Travel Bag,https://www.tokopedia.com/p/rumah-tangga/travel/travel-bag,
category,Rumah Tangga,Travel Organizer,https://www.tokopedia.com/p/rumah-tangga/travel/travel-organizer,
category,Rumah Tangga,Travel Toiletries Kit,https://www.tokopedia.com/p/rumah-tangga/travel/travel-toiletries-kit,
category,Rumah Tangga,Universal Travel Adaptor,https://www.tokopedia.com/p/rumah-tangga/travel/universal-travel-adaptor,
category,Rumah Tangga,Travel,https://www.tokopedia.com/p/rumah-tangga/travel,
category,,Rumah Tangga,https://www.tokopedia.com/p/rumah-tangga,
category,"Audio, Kamera & Elektronik Lainnya",Kabel Konektor Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/kabel-konektor-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Lainnya,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/lainnya,
category,"Audio, Kamera & Elektronik Lainnya",Microphone Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/microphone-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Monopod Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/monopod-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Remote Wireless Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/remote-wireless-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Silica Gel Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/silica-gel-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Stabilizer Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/stabilizer-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Tripod Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/tripod-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Amplifier,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/amplifier,
category,"Audio, Kamera & Elektronik Lainnya",Earphone,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/earphone,
category,"Audio, Kamera & Elektronik Lainnya",Headphone,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/headphone,
category,"Audio, Kamera & Elektronik Lainnya",Kabel & Konektor Audio,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/kabel-konektor-audio,
category,"Audio, Kamera & Elektronik Lainnya",Sound System,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/sound-system,
category,"Audio, Kamera & Elektronik Lainnya",Speaker,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/speaker,
category,"Audio, Kamera & Elektronik Lainnya",TWS,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/tws,
category,"Audio, Kamera & Elektronik Lainnya",Voice Recorder,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/voice-recorder,
category,"Audio, Kamera & Elektronik Lainnya",Audio,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio,
category,"Audio, Kamera & Elektronik Lainnya",Baterai Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/baterai-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Battery & Charger Pack,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/battery-charger-pack,
category,"Audio, Kamera & Elektronik Lainnya",Battery Grip Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/battery-grip-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Charger Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/charger-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Baterai & Charger Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Cleaning Cloth & Wipe,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-cloth-wipe,
